timestamp,alpha,beta,theta,diff
2024-11-08|16:23:32.057,0.2139,0.0022,0.1459,100.0000
2024-11-08|16:23:32.258,0.2139,-0.0069,0.1459,100.0000
2024-11-08|16:23:32.462,0.2212,-0.0120,0.1339,100.0000
2024-11-08|16:23:32.665,0.2225,-0.0132,0.1112,100.0000
2024-11-08|16:23:32.868,0.2225,-0.0141,0.0755,100.0000
2024-11-08|16:23:33.069,0.2225,-0.0180,0.0319,100.0000
2024-11-08|16:23:33.271,0.2225,-0.0255,-0.0076,100.0000
2024-11-08|16:23:33.473,0.2173,-0.0336,-0.0198,100.0000
2024-11-08|16:23:33.676,0.2366,-0.0336,-0.0198,100.0000
2024-11-08|16:23:33.893,0.2823,-0.0391,0.0338,100.0000
2024-11-08|16:23:34.095,0.2823,-0.0441,0.1531,100.0000
2024-11-08|16:23:34.298,0.2982,-0.0534,0.2813,100.0000
2024-11-08|16:23:34.500,0.3195,-0.0680,0.3747,100.0000
2024-11-08|16:23:34.708,0.3401,-0.0801,0.4272,100.0000
2024-11-08|16:23:34.911,0.3588,-0.0795,0.4530,100.0000
2024-11-08|16:23:35.112,0.3896,-0.0795,0.4530,100.0000
2024-11-08|16:23:35.314,0.3896,-0.0637,0.4738,100.0000
2024-11-08|16:23:35.517,0.4391,-0.0396,0.5037,100.0000
2024-11-08|16:23:35.720,0.4990,-0.0166,0.5437,100.0000
2024-11-08|16:23:35.923,0.5424,0.0002,0.5920,100.0000
2024-11-08|16:23:36.126,0.5820,0.0002,0.6442,100.0000
2024-11-08|16:23:36.329,0.5820,0.0002,0.6442,100.0000
2024-11-08|16:23:36.530,0.6278,0.0150,0.6939,100.0000
2024-11-08|16:23:36.741,0.6521,0.0149,0.7350,100.0000
2024-11-08|16:23:36.945,0.6646,0.0111,0.7674,100.0000
2024-11-08|16:23:37.149,0.6758,0.0030,0.7965,100.0000
2024-11-08|16:23:37.351,0.6920,-0.0118,0.8220,100.0000
2024-11-08|16:23:37.553,0.6978,-0.0344,0.8333,100.0000
2024-11-08|16:23:37.755,0.6978,-0.0344,0.8333,100.0000
2024-11-08|16:23:37.960,0.6978,-0.0605,0.8239,100.0000
2024-11-08|16:23:38.164,0.6978,-0.0829,0.8000,100.0000
2024-11-08|16:23:38.366,0.6978,-0.0998,0.7760,100.0000
2024-11-08|16:23:38.568,0.6976,-0.1169,0.7607,100.0000
2024-11-08|16:23:38.770,0.6961,-0.1169,0.7483,100.0000
2024-11-08|16:23:38.972,0.6961,-0.1412,0.7483,100.0000
2024-11-08|16:23:39.175,0.6879,-0.1741,0.7302,100.0000
2024-11-08|16:23:39.378,0.6834,-0.2083,0.7033,100.0000
2024-11-08|16:23:39.581,0.6729,-0.2338,0.6672,100.0000
2024-11-08|16:23:39.787,0.6812,-0.2416,0.6251,100.0000
2024-11-08|16:23:39.991,0.6812,-0.2416,0.6251,100.0000
2024-11-08|16:23:40.193,0.6927,-0.2293,0.5850,100.0000
2024-11-08|16:23:40.412,0.6825,-0.2038,0.5542,100.0000
2024-11-08|16:23:40.614,0.6777,-0.1803,0.5273,100.0000
2024-11-08|16:23:40.817,0.6663,-0.1682,0.4839,100.0000
2024-11-08|16:23:41.019,0.6433,-0.1665,0.4038,100.0000
2024-11-08|16:23:41.223,0.5456,-0.1672,0.2906,100.0000
2024-11-08|16:23:41.427,0.4040,-0.1638,0.1799,100.0000
2024-11-08|16:23:41.630,0.3098,-0.1638,0.1151,100.0000
2024-11-08|16:23:41.838,0.3098,-0.1534,0.1151,100.0000
2024-11-08|16:23:42.041,0.2646,-0.1370,0.0966,100.0000
2024-11-08|16:23:42.243,0.2361,-0.1191,0.0945,100.0000
2024-11-08|16:23:42.446,0.2327,-0.1052,0.0959,100.0000
2024-11-08|16:23:42.663,0.2395,-0.0977,0.1056,100.0000
2024-11-08|16:23:42.866,0.2563,-0.0967,0.1365,100.0000
2024-11-08|16:23:43.070,0.2749,-0.0990,0.2034,100.0000
2024-11-08|16:23:43.271,0.2749,-0.0990,0.2034,100.0000
2024-11-08|16:23:43.476,0.3012,-0.1028,0.2919,100.0000
2024-11-08|16:23:43.680,0.3156,-0.1060,0.3695,100.0000
2024-11-08|16:23:43.883,0.2676,-0.1058,0.4163,100.0000
2024-11-08|16:23:44.087,0.2136,-0.0978,0.4335,100.0000
2024-11-08|16:23:44.289,0.1931,-0.0818,0.4338,100.0000
2024-11-08|16:23:44.493,0.2027,-0.0625,0.4313,100.0000
2024-11-08|16:23:44.697,0.2027,-0.0471,0.4322,100.0000
