TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
43:29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-19E7
45:52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:53.4,0.42162896,0.733264782,1.237784944,-0.12253941,0.229006078,0.437977516,0.770984406,0.256843942,0.349732018,0.384634218,0.517963606,0.252518133,1.007499747,0.352283309,0.604840215,1.05316029,1.020866692,0.121405352,0.185881112,1.106401039,788.5347985,858.6446886,782.0879121,768.7912088,775.6410256,-0.374329,0.030762,0.948425,4.456177,-3.895416,1.196289,1,1,1,1,1,60,
45:54.4,0.568802503,0.733264782,1.237784944,-0.109623729,0.309011655,0.437977516,0.770984406,0.311426312,0.240800347,0.384634218,0.517963606,0.239707948,1.046139465,0.352283309,0.604840215,1.054857978,0.913377534,0.121405352,0.185881112,1.080740651,786.9230769,766.7765568,446.4468864,785.7142857,654.3589744,-0.108215,0.124023,1.004272,9.450684,-11.746063,-8.531036,1,1,1,1,1,60,
45:55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:55.4,0.568802503,0.733264782,1.237784944,-0.109623729,0.309011655,0.437977516,0.770984406,0.311426312,0.240800347,0.384634218,0.517963606,0.239707948,1.046139465,0.352283309,0.604840215,1.054857978,0.913377534,0.121405352,0.185881112,1.080740651,814.7252747,771.2087912,816.7399267,806.2637363,883.6263736,-0.218201,0.150818,0.993408,5.091705,-0.044861,-1.659851,1,2,1,1,2,60,
45:56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
45:56.4,1.602677478,0.733264782,1.237784944,-0.109623729,1.385697295,0.437977516,0.770984406,0.311426312,1.186246155,0.384634218,0.517963606,0.239707948,1.380084899,0.352283309,0.604840215,1.054857978,1.225019104,0.121405352,0.185881112,1.080740651,783.6996337,825.6043956,850.5860806,812.7106227,705.9340659,-0.453979,0.17981,0.883728,7.207642,1.443024,-15.970459,1,2,1,1,2,60,
45:57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
45:57.4,1.477063231,0.733264782,1.237784944,-0.109623729,1.287500434,0.437977516,0.770984406,0.311426312,1.230239692,0.384634218,0.517963606,0.239707948,1.349846675,0.352283309,0.604840215,1.054857978,1.225409332,0.121405352,0.185881112,1.080740651,821.5750916,789.7435897,828.8278388,813.9194139,675.3113553,-0.508362,0.15686,0.847656,1.749573,-4.396362,-3.409424,1,1,1,1,1,60,
45:58.4,0.5023593,0.459244253,0.220033818,-0.109623729,0.181929883,-0.299138517,0.47954958,0.311426312,0.308609107,0.455749425,0.415106773,0.239707948,0.713977051,0.968766972,1.468712758,1.054857978,0.233472261,0.643151795,1.002819104,1.080740651,798.2051282,787.3260073,809.4871795,797.8021978,792.1611722,-0.509155,0.151123,0.863281,4.590759,-7.132874,-5.061798,1,1,1,1,1,60,
